"";"id";"title";"type";"release_year";"runtime";"genres";"production_countries";"seasons";"imdb_score";"imdb_votes";"tmdb_popularity";"tmdb_score"
"2913";"tm421335";"Jim Jefferies: This Is Me Now";"MOVIE";"2018";"70";['comedy'];['US'];"";"7.3";"3984.0";"5.57";"6.8"
"2914";"tm819641";"Match";"MOVIE";"2017";"90";['drama'];[];"";"4.1";"7.0";"";""
"2915";"tm326089";"Mubarakan";"MOVIE";"2017";"156";['drama', 'comedy', 'romance'];['IN'];"";"5.6";"3906.0";"4.208";"6.2"
"2916";"tm431760";"Paskal";"MOVIE";"2018";"100";['action', 'drama'];['MY'];"";"6.8";"2964.0";"19.295";"7.7"
"2917";"tm461349";"Stars in the Sky: A Hunting Story";"MOVIE";"2018";"69";['documentation'];['US'];"";"7.3";"333.0";"2.044";"5.5"
"2918";"tm435144";"Notes from Dunblane: Lessons from a School Shooting";"MOVIE";"2018";"23";['documentation'];['US'];"";"nan";"nan";"3.85";"6.1"
"2919";"tm444564";"Tattoo of Revenge";"MOVIE";"2018";"150";['thriller', 'comedy', 'romance'];['MX'];"";"4.9";"112.0";"3.723";"5.0"
"2920";"tm409376";"Pickpockets";"MOVIE";"2018";"100";['drama', 'thriller', 'crime'];['CO'];"";"5.4";"1179.0";"9.318";"5.1"
"2921";"tm436171";"El Potro: lo mejor del amor";"MOVIE";"2018";"122";['drama', 'music'];['AR'];"";"5.2";"723.0";"3.91";"4.9"
"2922";"tm430748";"Neevevaro";"MOVIE";"2018";"130";['thriller', 'action', 'drama', 'romance'];['IN'];"";"6.9";"809.0";"1.63";"6.5"
"2923";"tm443073";"Out of Many, One";"MOVIE";"2018";"35";['documentation'];['US'];"";"nan";"nan";"1.32";"5.8"
"2924";"ts81632";"A House of Blocks";"SHOW";"2017";"84";['horror', 'drama'];['TW'];"1.0";"2.3";"137.0";"1.808";"8.3"
"2925";"ts83710";"First and Last";"SHOW";"2018";"44";['documentation'];['US'];"1.0";"6.7";"421.0";"8.639";"7.7"
"2926";"tm356666";"Judah Friedlander: America Is the Greatest Country in the United States";"MOVIE";"2017";"84";['comedy', 'documentation'];['US'];"";"7.8";"1436.0";"4.414";"7.4"
"2927";"ts265844";"#ABtalks";"SHOW";"2018";"68";[];[];"1.0";"9.6";"7.0";"";""
"2928";"ts78757";"Dave Chappelle: Equanimity & The Bird Revelation";"SHOW";"2017";"57";['comedy'];['US'];"1.0";"nan";"nan";"0.6";"8.5"
"2929";"tm422359";"Aurora";"MOVIE";"2018";"110";['thriller', 'horror'];['PH'];"";"4.3";"603.0";"3.905";"5.0"
"2930";"tm431275";"Gunshot";"MOVIE";"2018";"96";['drama', 'thriller', 'crime', 'documentation', 'european'];['EG'];"";"6.8";"593.0";"1.084";"7.6"
"2931";"tm352951";"Smaller and Smaller Circles";"MOVIE";"2017";"111";['thriller', 'crime'];['PH'];"";"6.6";"234.0";"1.775";"6.2"
"2932";"tm362047";"Todd Barry: Spicy Honey";"MOVIE";"2017";"60";['comedy'];['US'];"";"6.8";"840.0";"3.711";"7.3"
"2933";"tm323300";"Joshua: Teenager vs. Superpower";"MOVIE";"2017";"78";['documentation'];['US'];"";"7.2";"1531.0";"6.826";"7.3"
"2934";"tm357708";"The Bros";"MOVIE";"2017";"102";['comedy', 'fantasy'];['KR'];"";"6.1";"616.0";"3.677";"6.5"
"2935";"tm444821";"5 Star Christmas";"MOVIE";"2018";"92";['comedy', 'european'];['IT'];"";"4.5";"767.0";"6.368";"4.2"
"2936";"tm351505";"The Reservoir Game";"MOVIE";"2017";"100";['documentation'];['KR'];"";"6.0";"35.0";"1.785";"8.8"
"2937";"tm408257";"Todo lo que sería Lucas Lauriente";"MOVIE";"2018";"78";['comedy'];['AR', 'US'];"";"6.9";"108.0";"1.366";"7.5"
"2938";"ts272185";"Running Man";"SHOW";"2017";"11";['animation', 'comedy'];['KR'];"1.0";"8.4";"32.0";"0.6";""
"2939";"ts53166";"Julie's Greenroom";"SHOW";"2017";"26";['comedy', 'family'];['US'];"1.0";"8.2";"328.0";"3.104";"8.5"
"2940";"tm435333";"DTC –Yukemuri Junjo Hen– from HiGH&LOW";"MOVIE";"2018";"102";['comedy', 'drama'];['JP'];"";"6.8";"55.0";"2.918";"1.0"
"2941";"tm411856";"Hari Kondabolu: Warn Your Relatives";"MOVIE";"2018";"67";['comedy'];['US'];"";"6.5";"837.0";"2.215";"5.9"
"2942";"tm358188";"Alexis de Anda: Mea Culpa";"MOVIE";"2017";"54";['comedy'];['MX'];"";"4.9";"101.0";"0.946";"4.3"
"2943";"tm684591";"Freej Al Taibeen";"MOVIE";"2018";"100";['comedy', 'sport'];['AE'];"";"5.8";"9.0";"0.891";"2.0"
"2944";"ts57281";"All Hail King Julien: Exiled";"SHOW";"2017";"23";['animation', 'comedy', 'family', 'fantasy'];['US'];"1.0";"7.5";"559.0";"6.454";"8.5"
"2945";"tm345225";"Gurgaon";"MOVIE";"2017";"107";['thriller', 'crime'];['IN'];"";"6.5";"2191.0";"2.288";"5.0"
"2946";"tm443537";"Ani... Dr. Kashinath Ghanekar";"MOVIE";"2018";"159";['drama'];['IN'];"";"8.5";"1071.0";"1.486";""
"2947";"tm311902";"Jim Norton: Mouthful of Shame";"MOVIE";"2017";"61";['comedy'];['US'];"";"7.0";"1324.0";"4.476";"6.9"
"2948";"tm364417";"Fanatyk";"MOVIE";"2017";"33";['drama', 'comedy'];['PL'];"";"nan";"nan";"4.463";"6.5"
"2949";"tm368350";"Jonaki";"MOVIE";"2018";"96";['fantasy', 'drama', 'european'];['FR', 'IN', 'SG'];"";"6.8";"251.0";"0.925";"5.9"
"2950";"tm434126";"Rafinha Bastos: Ultimatum";"MOVIE";"2018";"62";['comedy'];['BR'];"";"6.5";"214.0";"2.171";"6.7"
"2951";"tm361312";"A StoryBots Christmas";"MOVIE";"2017";"25";['fantasy', 'comedy', 'family'];['US'];"";"5.7";"156.0";"5.004";"6.2"
"2952";"ts317239";"Falling in Love Like a Romantic Drama";"SHOW";"2018";"39";['reality'];['JP'];"1.0";"nan";"nan";"2.379";""
"2953";"ts87591";"Justice: Qalb Al Adala";"SHOW";"2017";"37";['drama', 'crime'];['US'];"1.0";"5.6";"155.0";"1.307";"7.0"
"2954";"tm431081";"Lionheart";"MOVIE";"2018";"95";['drama', 'comedy'];['NG'];"";"5.7";"1444.0";"4.696";"6.0"
"2955";"tm420800";"To Each, Her Own";"MOVIE";"2018";"95";['romance', 'comedy', 'drama', 'european'];['FR'];"";"5.4";"1726.0";"8.15";"5.1"
"2956";"ts80692";"REA(L)OVE";"SHOW";"2018";"45";['reality'];['JP'];"1.0";"6.6";"210.0";"0.6";"5.7"
"2957";"ts113031";"Droppin' Cash: Los Angeles";"SHOW";"2018";"23";['reality'];[];"2.0";"3.4";"116.0";"1.651";"5.5"
"2958";"ts75138";"Argon";"SHOW";"2017";"63";['drama'];['KR'];"1.0";"7.3";"261.0";"3.509";"7.3"
"2959";"tm373134";"Night of Knots";"MOVIE";"2018";"100";['comedy'];['TR'];"";"5.4";"1282.0";"1.997";"3.6"
"2960";"tm348191";"Love You to the Stars and Back";"MOVIE";"2017";"111";['drama', 'comedy', 'romance'];['PH'];"";"7.6";"531.0";"2.255";"7.8"
"2961";"tm375091";"Marlon Wayans: Woke-ish";"MOVIE";"2018";"68";['comedy', 'documentation'];['US'];"";"6.5";"1390.0";"5.269";"6.4"
"2962";"ts55576";"Buddy Thunderstruck";"SHOW";"2017";"22";['comedy', 'sport', 'animation', 'action', 'family'];['US'];"2.0";"7.8";"489.0";"3.463";"8.4"
"2963";"tm307383";"Ghost Hunting";"MOVIE";"2017";"94";['documentation', 'european'];['FR', 'PS', 'CH', 'QA'];"";"7.1";"219.0";"1.03";"6.3"
"2964";"tm469399";"Music Teacher";"MOVIE";"2018";"101";['drama', 'romance'];['IN'];"";"6.2";"684.0";"2.281";"6.0"
"2965";"tm347060";"Poster Boys";"MOVIE";"2017";"128";['comedy'];['IN'];"";"5.5";"1541.0";"1.645";"5.4"
"2966";"ts76646";"Blazing Transfer Students";"SHOW";"2017";"26";['action', 'comedy'];['JP'];"1.0";"7.0";"116.0";"2.467";"8.0"
"2967";"ts81857";"Club de Cuervos Presents: The Ballad of Hugo Sánchez";"SHOW";"2018";"32";['comedy', 'drama'];['MX'];"1.0";"6.4";"816.0";"4.798";"7.8"
"2968";"tm430660";"Munafik 2";"MOVIE";"2018";"104";['horror'];['MY'];"";"6.3";"1654.0";"3.387";"5.7"
"2969";"tm430059";"The Hows of Us";"MOVIE";"2018";"117";['drama', 'comedy', 'romance'];['PH'];"";"6.7";"2695.0";"4.045";"6.9"
"2970";"ts101883";"Regiment Diaries";"SHOW";"2018";"42";['documentation'];[];"2.0";"8.6";"80.0";"1.317";""
"2971";"tm324753";"Marco Luque - We are together";"MOVIE";"2017";"73";['comedy'];['BR'];"";"4.4";"76.0";"1.143";"5.2"
"2972";"tm314138";"Felipe Neto: My Life Makes No Sense";"MOVIE";"2017";"90";['comedy', 'documentation'];['BR'];"";"4.4";"245.0";"1.418";"6.5"
"2973";"tm327619";"Aditi Mittal: Things They Wouldn't Let Me Say";"MOVIE";"2017";"62";['comedy'];['IN'];"";"4.3";"330.0";"2.401";"4.6"
"2974";"tm244473";"Blessed Benefit";"MOVIE";"2017";"83";['comedy', 'drama', 'european'];['NL', 'JO', 'DE'];"";"6.6";"665.0";"1.323";"6.3"
"2975";"ts84985";"Robozuna";"SHOW";"2018";"22";['animation'];['GB'];"3.0";"6.6";"92.0";"7.167";"8.3"
"2976";"tm371622";"Malena Pichot: Estupidez compleja";"MOVIE";"2018";"50";['comedy'];['AR'];"";"5.7";"360.0";"3.202";"5.3"
"2977";"tm464947";"Chief Daddy";"MOVIE";"2018";"98";['comedy', 'drama'];['NG'];"";"4.7";"269.0";"2.748";"5.6"
"2978";"tm442354";"Adhugo";"MOVIE";"2018";"110";['drama'];['IN'];"";"5.9";"65.0";"1.178";"7.0"
"2979";"tm439678";"Solo el amor";"MOVIE";"2018";"93";['romance', 'drama', 'music', 'comedy'];['AR'];"";"4.7";"68.0";"8.878";"5.3"
"2980";"tm446558";"Hedefim Sensin";"MOVIE";"2018";"105";['comedy'];['TR'];"";"6.2";"4384.0";"3.732";"5.6"
"2981";"tm366383";"Deliha 2";"MOVIE";"2018";"106";['comedy'];['TR'];"";"4.7";"2554.0";"4.645";"5.7"
"2982";"tm414340";"Spivak";"MOVIE";"2018";"91";['comedy'];['US'];"";"5.6";"732.0";"3.649";"5.6"
"2983";"tm197806";"For Here or to Go?";"MOVIE";"2017";"105";['drama', 'comedy'];['US'];"";"6.8";"605.0";"2.197";"7.0"
"2984";"tm361161";"DreamWorks Home: For the Holidays";"MOVIE";"2017";"45";['fantasy', 'comedy', 'family', 'scifi', 'animation'];['GB'];"";"4.9";"149.0";"7.139";"5.2"
"2985";"ts86302";"Check The Store Next Door";"SHOW";"2018";"30";['comedy', 'drama'];['ID'];"2.0";"7.8";"129.0";"5.449";"6.0"
"2986";"tm431169";"Late Life: The Chien-Ming Wang Story";"MOVIE";"2018";"97";['documentation', 'sport'];['TW', 'US'];"";"7.2";"465.0";"2.399";"6.3"
"2987";"tm344562";"Listen";"MOVIE";"2017";"109";['drama', 'romance'];['LB'];"";"6.6";"227.0";"0.6";"8.0"
"2988";"tm363878";"Aiyaary";"MOVIE";"2018";"157";['thriller', 'action', 'drama'];['IN'];"";"5.2";"4671.0";"6.455";"5.5"
"2989";"ts84038";"Battlefish";"SHOW";"2018";"45";['reality'];['US'];"1.0";"7.0";"426.0";"2.537";"8.8"
"2990";"tm426238";"Pulang";"MOVIE";"2018";"120";['drama', 'romance', 'action'];['MY'];"";"6.7";"594.0";"1.532";"5.9"
"2991";"ts74805";"A Little Help with Carol Burnett";"SHOW";"2018";"34";[];['US'];"1.0";"6.3";"233.0";"3.593";"6.2"
"2992";"tm518107";"Alter Ego";"MOVIE";"2017";"111";['drama'];['NG'];"";"5.7";"55.0";"1.349";""
"2993";"ts255677";"Pucca: Love Recipe";"SHOW";"2018";"24";['comedy'];[];"1.0";"nan";"nan";"14.26";""
"2994";"tm404449";"Ayotzinapa: The Turtle's Pace";"MOVIE";"2018";"80";['documentation'];['MX'];"";"7.4";"204.0";"5.503";"6.6"
"2995";"tm323602";"The Price of Success";"MOVIE";"2017";"92";['drama', 'comedy', 'european'];['FR'];"";"5.8";"362.0";"4.249";"6.0"
"2996";"tm438250";"I, Potro";"MOVIE";"2018";"50";['comedy', 'sport'];['MX', 'AR'];"";"6.2";"493.0";"3.708";"5.9"
"2997";"tm351181";"Turkish Dance School";"MOVIE";"2017";"111";['drama', 'comedy'];['TR'];"";"5.7";"2113.0";"5.467";"5.5"
"2998";"ts82591";"Spiritual House";"SHOW";"2017";"41";[];['JP'];"1.0";"nan";"nan";"0.6";""
"2999";"tm374395";"Vanjagar Ulagam";"MOVIE";"2018";"161";['thriller', 'action', 'crime', 'drama'];['IN'];"";"6.0";"258.0";"1.411";"4.8"
"3000";"tm360763";"Verses of Love 2";"MOVIE";"2017";"125";['drama', 'romance'];['ID'];"";"5.9";"603.0";"2.623";"6.8"
"3001";"tm423802";"Luciano Mellera: Infantiloide";"MOVIE";"2018";"66";['comedy'];['AR'];"";"7.5";"1516.0";"1.83";"7.4"
"3002";"tm442805";"My Travel Buddy 2";"MOVIE";"2018";"116";['comedy'];['TR'];"";"5.8";"3217.0";"3.115";"6.2"
"3003";"tm345960";"Alan Saldaña: mi vida de pobre";"MOVIE";"2017";"53";['comedy'];['MX'];"";"6.3";"68.0";"1.403";"6.5"
"3004";"tm319127";"Vir Das: Abroad Understanding";"MOVIE";"2017";"65";['comedy'];['US', 'IN'];"";"6.9";"1697.0";"3.13";"6.9"
"3005";"tm430666";"Hantu Kak Limah";"MOVIE";"2018";"111";['horror', 'comedy'];['MY'];"";"5.6";"677.0";"2.209";"6.9"
"3006";"tm431214";"Back to Q82";"MOVIE";"2017";"105";['scifi', 'action', 'comedy'];['KW'];"";"6.0";"94.0";"0.6";""
"3007";"tm369315";"Garbage";"MOVIE";"2018";"105";['thriller', 'drama'];['IN'];"";"3.4";"1004.0";"2.785";"4.2"
"3008";"tm408781";"Teefa in Trouble";"MOVIE";"2018";"155";['drama', 'comedy', 'crime', 'romance', 'action'];['PK'];"";"7.3";"3569.0";"3.782";"7.6"
"3009";"tm361633";"Potato Potahto";"MOVIE";"2017";"104";['comedy'];['GH'];"";"4.1";"208.0";"2.255";"2.8"
"3010";"tm327636";"Joe Mande's Award-Winning Comedy Special";"MOVIE";"2017";"66";['comedy', 'documentation'];['US'];"";"6.1";"498.0";"2.915";"6.3"
"3011";"ts119220";"The Hollywood Masters";"SHOW";"2017";"34";['documentation'];['US'];"3.0";"7.2";"86.0";"0.6";""
"3012";"tm349418";"The Royal Hibiscus Hotel";"MOVIE";"2018";"90";['comedy', 'romance'];['NG'];"";"5.5";"276.0";"2.243";"4.4"
"3013";"ts85250";"Kulipari: Dream Walker";"SHOW";"2018";"19";['fantasy', 'animation', 'action'];['US'];"1.0";"7.7";"91.0";"5.562";"9.0"
"3014";"tm153164";"Puriyaatha Puthir";"MOVIE";"2017";"140";['thriller'];['IN'];"";"6.6";"1032.0";"2.088";"7.1"
"3015";"tm428982";"Son Of Adam";"MOVIE";"2018";"109";['thriller'];['EG'];"";"nan";"nan";"1.459";"6.0"
"3016";"ts56251";"ID-0";"SHOW";"2017";"24";['scifi', 'animation', 'action', 'drama'];['JP'];"1.0";"6.2";"320.0";"2.72";"6.3"
"3017";"tm447263";"Super Monsters and the Wish Star";"MOVIE";"2018";"27";['fantasy'];['US'];"";"nan";"nan";"2.821";"6.0"
"3018";"tm346398";"Ryan Hamilton: Happy Face";"MOVIE";"2017";"56";['comedy', 'documentation'];['US'];"";"7.3";"921.0";"2.828";"7.0"
"3019";"ts106612";"Chicken Soup for the Soul's Being Dad";"SHOW";"2018";"40";['reality'];[];"1.0";"nan";"nan";"";""
"3020";"tm305227";"Daniel Sosa: Sosafado";"MOVIE";"2017";"77";['comedy'];['MX'];"";"5.4";"98.0";"1.124";"6.3"
"3021";"tm446104";"Fantastica";"MOVIE";"2018";"114";['fantasy', 'comedy'];['PH'];"";"3.6";"212.0";"1.688";"6.1"
"3022";"tm459024";"Food on the Go";"MOVIE";"2017";"66";['documentation', 'european'];['AR', 'IT'];"";"6.3";"211.0";"1.4";"6.0"
"3023";"tm373864";"Agustín Aristarán: Soy Rada";"MOVIE";"2018";"60";['comedy'];['AR'];"";"6.1";"121.0";"1.156";"5.5"
"3024";"tm306680";"Grillo vs Grillo";"MOVIE";"2017";"95";['comedy', 'european'];['XX'];"";"5.2";"129.0";"1.132";"6.0"
"3025";"tm286520";"Jim Gaffigan: Cinco";"MOVIE";"2017";"73";['comedy'];['US'];"";"7.1";"2381.0";"4.898";"7.0"
"3026";"tm447261";"Free Rein: The Twelve Neighs of Christmas";"MOVIE";"2018";"58";['comedy', 'drama', 'family'];['US'];"";"6.7";"5633.0";"8.311";"6.9"
"3027";"tm307698";"My Ex & Whys";"MOVIE";"2017";"120";['romance', 'drama'];['PH'];"";"6.2";"572.0";"3.375";"6.4"
"3028";"tm244277";"Pa Paandi";"MOVIE";"2017";"125";['comedy', 'action', 'romance', 'family', 'drama'];['IN'];"";"7.4";"1725.0";"2.594";"7.1"
"3029";"tm376844";"Penalty Kick";"MOVIE";"2018";"89";['comedy'];['MX', 'CO'];"";"3.7";"280.0";"7.002";"5.3"
"3030";"tm814861";"Noblemen";"MOVIE";"2018";"108";['drama'];['IN'];"";"5.6";"274.0";"1.384";"6.0"
"3031";"tm352642";"Bonboné";"MOVIE";"2018";"15";['comedy', 'drama'];['LB', 'PS'];"";"nan";"nan";"1.753";""
"3032";"tm346390";"Brad Paisley's Comedy Rodeo";"MOVIE";"2017";"63";['comedy'];['US'];"";"5.7";"151.0";"2.044";"6.5"
"3033";"tm313118";"Love, Surreal and Odd";"MOVIE";"2017";"95";['comedy', 'romance'];['TR'];"";"5.6";"3216.0";"1.609";"5.2"
"3034";"tm423315";"Pacíficum";"MOVIE";"2017";"74";['documentation'];['PE'];"";"6.5";"126.0";"1.16";"5.5"
"3035";"tm417488";"Mama's Boy";"MOVIE";"2018";"104";['comedy'];['EG'];"";"6.1";"987.0";"1.558";"5.6"
"3036";"tm1073482";"Motu Patlu Kung Fu Kings 4 The Challenge of Kung Fu Brothers";"MOVIE";"2018";"86";[];[];"";"nan";"nan";"1.4";"10.0"
"3037";"tm353791";"Seven Sundays";"MOVIE";"2017";"128";['drama', 'comedy'];['PH'];"";"7.7";"456.0";"3.045";"8.5"
"3038";"tm444576";"Puppy Star Christmas";"MOVIE";"2018";"90";['family', 'comedy'];['US'];"";"3.6";"248.0";"6.999";"5.7"
"3039";"tm434776";"Mo Amer: The Vagabond";"MOVIE";"2018";"56";['comedy', 'documentation'];['US'];"";"7.3";"799.0";"2.008";"5.7"
"3040";"tm445258";"Marriage Palace";"MOVIE";"2018";"102";['comedy'];['XX'];"";"6.2";"180.0";"1.4";"7.0"
"3041";"ts55735";"The Perfect Match";"SHOW";"2017";"44";['comedy', 'drama'];['TW'];"1.0";"nan";"nan";"2.684";"7.4"
"3042";"ts82160";"Harvey Street Kids";"SHOW";"2018";"24";['action', 'family', 'animation', 'comedy'];['US'];"4.0";"6.8";"249.0";"4.753";"8.5"
"3043";"tm364769";"Pahuna: The Little Visitors";"MOVIE";"2017";"138";['drama'];['IN', 'NP'];"";"7.5";"397.0";"1.234";"8.1"
"3044";"tm1118527";"Shiva VS Autobots";"MOVIE";"2018";"79";[];[];"";"nan";"nan";"0.626";""
"3045";"tm411508";"Mahi NRI";"MOVIE";"2017";"132";['comedy', 'drama'];['IN'];"";"5.9";"83.0";"1.134";"2.0"
"3046";"tm319477";"Rodney King";"MOVIE";"2017";"52";['crime', 'comedy', 'drama', 'history', 'documentation'];['US'];"";"5.8";"601.0";"2.444";"5.2"
"3047";"tm433215";"Exes Baggage";"MOVIE";"2018";"104";['drama', 'romance'];['PH'];"";"6.4";"267.0";"1.256";"8.2"
"3048";"tm456983";"Mauli";"MOVIE";"2018";"134";['drama', 'action'];['IN'];"";"5.6";"362.0";"1.291";"5.0"
"3049";"tm320756";"Tracy Morgan: Staying Alive";"MOVIE";"2017";"60";['comedy'];['XX'];"";"6.1";"1202.0";"3.558";"6.4"
"3050";"tm466084";"Voulez-vous rire avec moi ce soir?";"MOVIE";"2018";"93";['documentation', 'european'];['FR'];"";"6.8";"43.0";"0.973";"9.3"
"3051";"tm430459";"La Leyenda del Diamante";"MOVIE";"2018";"87";['fantasy', 'scifi', 'action', 'horror', 'western', 'family'];['MX'];"";"3.4";"48.0";"18.818";"5.3"
"3052";"tm413266";"Pup Star: World Tour";"MOVIE";"2018";"87";['comedy', 'family'];['CA', 'JP', 'US'];"";"3.8";"207.0";"5.884";"5.7"
"3053";"tm404569";"Shubh Aarambh";"MOVIE";"2017";"126";['comedy', 'drama', 'family'];['IN'];"";"6.8";"121.0";"0.893";"6.0"
"3054";"tm325610";"Chris D'Elia: Man on Fire";"MOVIE";"2017";"65";['comedy', 'documentation'];['US'];"";"6.5";"1720.0";"2.801";"6.2"
"3055";"tm321563";"A Drowning Man";"MOVIE";"2017";"15";['drama'];['DK', 'GR', 'GB'];"";"nan";"nan";"1.101";"5.6"
"3056";"tm1063790";"A Man for The Weekend";"MOVIE";"2017";"94";['romance', 'comedy'];['CM'];"";"4.0";"11.0";"1.674";"2.0"
"3057";"tm358239";"DeRay Davis: How to Act Black";"MOVIE";"2017";"66";['comedy'];['US'];"";"6.1";"427.0";"3.191";"6.1"
"3058";"tm354136";"El Especial de Alex Fernández, el Especial";"MOVIE";"2017";"52";['comedy'];['MX'];"";"6.6";"73.0";"0.6";"6.7"
"3059";"ts54112";"Life Plan A and B";"SHOW";"2017";"80";['drama'];['TW'];"1.0";"7.8";"106.0";"2.107";"7.0"
"3060";"tm411649";"Thug Life";"MOVIE";"2017";"134";['comedy', 'drama'];['IN'];"";"5.7";"48.0";"0.932";""
"3061";"tm350945";"Posesif";"MOVIE";"2017";"102";['drama', 'comedy', 'romance'];['ID'];"";"7.4";"920.0";"2.403";"7.8"
"3062";"tm244310";"Merku Thodarchi Malai";"MOVIE";"2018";"122";['drama'];['IN'];"";"8.6";"1810.0";"2.764";"7.4"
"3063";"tm370781";"Natalia Valdebenito: El especial";"MOVIE";"2018";"76";['comedy'];['CL'];"";"5.1";"82.0";"1.874";"7.3"
