,Unnamed: 0,id,title,type,release_year,runtime,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
1284,1416,ts42257,Signal,SHOW,2016,71,8.6,6338.0,8.776,8.1
1285,1417,ts35406,Between,SHOW,2015,25,6.0,9059.0,26.43,5.7
1286,1418,ts128895,Midnight Diner: Tokyo Stories,SHOW,2016,28,8.4,4109.0,8.013,7.6
1290,1422,ts37660,Reply 1988,SHOW,2015,95,9.2,6557.0,15.317,8.7
1291,1424,ts41258,Cinderella and Four Knights,SHOW,2016,61,7.5,3663.0,23.344,7.2
1293,1426,ts81483,Simon,SHOW,2016,5,7.0,127.0,2.878,9.5
1295,1428,ts37896,Conspiracy,SHOW,2015,43,6.2,367.0,2.731,5.8
1296,1429,ts52943,The Sound of Your Heart,SHOW,2016,24,8.2,1075.0,6.178,8.3
1297,1430,ts21979,Spotless,SHOW,2015,58,7.7,3635.0,9.159,7.0
1300,1433,ts36547,Club de Cuervos,SHOW,2015,44,8.2,5514.0,31.739,8.4
1301,1434,ts84398,Little Things,SHOW,2016,25,8.2,6461.0,8.807,7.8
1302,1435,ts77654,Care Bears and Cousins,SHOW,2015,23,6.8,82.0,4.256,9.3
1305,1439,ts39014,Kuromukuro,SHOW,2016,24,7.2,1265.0,5.73,6.6
1307,1441,ts38764,Marseille,SHOW,2016,46,6.9,5083.0,7.729,6.6
1308,1442,ts54110,Puffin Rock,SHOW,2015,11,8.7,891.0,5.367,7.6
1309,1443,ts54156,Chef's Table: France,SHOW,2016,60,8.2,1723.0,2.151,8.5
1312,1446,ts38230,The Method,SHOW,2015,51,7.4,2784.0,6.495,7.8
1313,1447,ts51368,Skylanders Academy,SHOW,2016,23,6.7,730.0,18.291,6.1
1327,1462,ts66540,"Can't Cope, Won't Cope",SHOW,2016,23,7.3,880.0,1.537,6.8
1330,1465,ts75829,Lego Bionicle: The Journey to One,SHOW,2016,17,5.5,170.0,1.4,7.3
