id,title,type,release_year,runtime,genres,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,numberTags
tm8446,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,MOVIE,1991,88,"['scifi', 'action', 'comedy', 'family']",0.0,6.0,55499.0,16.459,6.1,4
ts8570,Barney & Friends,SHOW,1992,28,['family'],14.0,3.8,9955.0,46.955,5.0,1
tm21596,Hollow Man,MOVIE,2000,112,"['scifi', 'action', 'horror', 'thriller']",0.0,5.8,130099.0,24.125,5.9,4
tm48430,Godzilla,MOVIE,1998,133,"['thriller', 'scifi', 'action']",0.0,5.4,191722.0,38.87,5.6,3
tm190835,Neon Genesis Evangelion: The End of Evangelion,MOVIE,1997,87,"['scifi', 'action', 'drama', 'fantasy', 'animation']",0.0,8.0,51938.0,36.756,8.4,5
tm192199,Spawn,MOVIE,1997,96,"['fantasy', 'horror', 'scifi', 'thriller', 'action', 'drama']",0.0,5.2,67761.0,15.124,5.3,6
tm184205,Dennis the Menace,MOVIE,1993,95,"['comedy', 'family']",0.0,5.6,60779.0,24.079,5.8,2
tm12499,The Net,MOVIE,1995,114,"['thriller', 'action', 'crime', 'drama']",0.0,5.9,66127.0,11.838,6.0,4
tm192431,The Devil's Own,MOVIE,1997,107,"['thriller', 'drama', 'action', 'crime', 'european']",0.0,6.2,64625.0,11.387,6.1,5
tm56033,Croupier,MOVIE,1998,94,"['thriller', 'european', 'crime', 'drama']",0.0,7.0,21382.0,7.89,6.8,4
tm190486,Teenage Mutant Ninja Turtles III,MOVIE,1993,96,"['fantasy', 'scifi', 'action', 'comedy', 'family']",0.0,4.7,33128.0,15.356,5.4,5
tm61103,The General's Daughter,MOVIE,1999,116,"['drama', 'crime', 'thriller']",0.0,6.4,58726.0,11.976,6.4,3
tm117488,The Next Karate Kid,MOVIE,1994,107,"['drama', 'family', 'romance', 'sport', 'action']",0.0,4.5,30138.0,20.882,5.3,5
tm55732,I Still Know What You Did Last Summer,MOVIE,1998,100,"['thriller', 'horror']",0.0,4.7,73269.0,17.756,5.3,2
tm191431,Double Team,MOVIE,1997,93,"['scifi', 'action', 'comedy', 'thriller']",0.0,4.7,34127.0,12.697,5.1,4
tm17721,Under Suspicion,MOVIE,2000,110,"['thriller', 'crime', 'drama', 'european']",0.0,6.5,25432.0,11.459,6.1,4
ts20939,Moesha,SHOW,1996,21,"['drama', 'comedy', 'family']",6.0,5.7,3713.0,7.483,7.3,3
ts21693,"Sister, Sister",SHOW,1994,22,"['comedy', 'drama', 'family']",6.0,6.2,12535.0,12.029,7.6,3
ts22286,Cardcaptor Sakura,SHOW,1998,25,"['scifi', 'comedy', 'drama', 'family', 'fantasy', 'romance', 'animation', 'action']",4.0,8.0,4936.0,53.714,8.7,8
tm190811,Geronimo: An American Legend,MOVIE,1993,115,"['western', 'drama', 'history']",0.0,6.5,11506.0,10.551,6.3,3
tm107659,The Mirror Has Two Faces,MOVIE,1996,126,"['romance', 'comedy', 'drama']",0.0,6.6,19829.0,8.391,6.7,3
ts21581,Girlfriends,SHOW,2000,21,"['comedy', 'drama']",8.0,7.2,4482.0,17.929,7.6,2
tm7073,Knight Rider 2000,MOVIE,1991,91,"['action', 'scifi']",0.0,4.5,3178.0,8.52,5.1,2
tm63514,The Last Days,MOVIE,1998,87,"['drama', 'documentation', 'war']",0.0,7.9,4247.0,4.869,7.8,3
ts20918,The Parkers,SHOW,1999,19,['comedy'],5.0,6.8,2346.0,9.733,8.0,1
tm10811,Heavy,MOVIE,1995,105,"['romance', 'drama']",0.0,6.8,4921.0,5.31,6.8,2
tm188970,Bill Hicks: Revelations,MOVIE,1993,74,"['comedy', 'documentation']",0.0,8.5,3085.0,3.88,8.1,2
tm188606,Sankofa,MOVIE,1993,124,"['drama', 'european']",0.0,7.0,678.0,2.783,6.5,2
ts18465,Dale's Supermarket Sweep,SHOW,1993,21,[],8.0,7.1,39.0,0.947,8.3,0
tm64817,Jerry Seinfeld: I'm Telling You for the Last Time,MOVIE,1998,75,"['comedy', 'documentation']",0.0,7.9,5834.0,5.834,7.6,2
tm320211,Children of God,MOVIE,1994,63,['documentation'],0.0,6.4,589.0,2.809,6.4,1
tm189171,Wild Tango,MOVIE,1993,124,"['drama', 'music', 'romance']",0.0,6.7,1564.0,3.259,6.3,3
tm67635,Kuch Kuch Hota Hai,MOVIE,1998,185,"['drama', 'romance', 'comedy']",0.0,7.6,51640.0,12.564,7.7,3
ts22080,Oggy and the Cockroaches,SHOW,1999,9,"['comedy', 'family', 'action', 'animation', 'european']",7.0,7.4,4185.0,26.074,7.5,5
ts22039,H,SHOW,1998,25,['comedy'],4.0,7.4,1703.0,11.362,7.6,1
tm41525,Herod's Law,MOVIE,1999,120,"['drama', 'comedy', 'crime']",0.0,7.8,5943.0,11.526,7.9,3
tm7951,Tim Allen: Rewires America,MOVIE,1991,30,"['comedy', 'documentation']",0.0,5.9,195.0,1.339,7.0,2
ts21684,Heartbreak High,SHOW,1994,47,"['drama', 'romance', 'comedy']",7.0,7.8,3106.0,16.211,7.3,3
tm55100,Dil Se..,MOVIE,1998,163,"['drama', 'romance']",0.0,7.5,28409.0,6.381,6.8,2
tm204173,Aashik Aawara,MOVIE,1993,153,"['romance', 'comedy', 'drama']",0.0,4.7,320.0,1.082,4.7,3
tm191614,Destiny,MOVIE,1997,136,"['drama', 'romance', 'comedy', 'history']",0.0,7.1,2825.0,3.928,6.6,4
tm8859,Oh Darling! Yeh Hai India!,MOVIE,1995,153,['comedy'],0.0,4.0,1678.0,2.566,4.8,1
tm424630,A Triumph of the Heart: The Ricky Bell Story,MOVIE,1991,100,"['drama', 'sport']",0.0,7.2,248.0,3.255,5.1,2
tm12876,Bombay,MOVIE,1995,141,"['romance', 'drama']",0.0,8.1,12512.0,3.771,7.2,2
tm52083,West Beirut,MOVIE,1998,105,"['romance', 'war', 'comedy', 'drama', 'european']",0.0,7.6,4175.0,3.996,7.4,5
tm9898,Muthu,MOVIE,1995,165,"['drama', 'comedy', 'romance', 'action']",0.0,7.6,3056.0,5.577,6.9,4
tm326102,Qila,MOVIE,1998,160,"['drama', 'music', 'family']",0.0,4.8,129.0,1.221,6.0,3
tm12482,Ram Jaane,MOVIE,1995,172,"['action', 'drama', 'romance', 'crime']",0.0,5.4,3901.0,4.396,5.0,4
tm128925,Chamatkar,MOVIE,1992,171,"['comedy', 'fantasy', 'drama', 'crime']",0.0,6.5,6199.0,5.065,6.6,4
tm52871,Soldier,MOVIE,1998,156,"['thriller', 'action', 'drama', 'romance']",0.0,6.2,3025.0,2.471,5.7,4
ts28516,Okupas,SHOW,2000,40,"['crime', 'drama']",1.0,9.0,2326.0,6.971,8.8,2
tm62385,Hum Saath Saath Hain,MOVIE,1999,177,"['fantasy', 'romance', 'family', 'drama']",0.0,6.2,8454.0,4.91,6.0,4
tm184502,Kabhi Haan Kabhi Naa,MOVIE,1994,158,"['comedy', 'drama', 'music', 'romance']",0.0,7.6,18224.0,5.028,6.6,4
tm7810,Nightmare in Columbia County,MOVIE,1991,100,"['drama', 'crime', 'thriller']",0.0,5.5,341.0,1.603,6.0,3
tm27601,Phir Bhi Dil Hai Hindustani,MOVIE,2000,160,"['comedy', 'romance', 'drama']",0.0,6.1,7556.0,6.39,6.6,3
tm47530,Jeans,MOVIE,1998,175,"['drama', 'romance', 'comedy']",0.0,6.4,3567.0,2.862,6.5,3
tm105716,Chaahat,MOVIE,1996,155,"['drama', 'romance']",0.0,5.5,2837.0,2.947,7.0,2
tm117873,Hum Aapke Hain Koun..!,MOVIE,1994,206,"['romance', 'comedy', 'drama']",0.0,7.5,20986.0,6.655,6.5,3
tm189773,Maya Memsaab,MOVIE,1993,126,"['romance', 'drama', 'thriller']",0.0,5.4,2177.0,5.307,5.5,3
tm7032,Out of Life,MOVIE,1991,97,"['war', 'drama', 'crime', 'european']",0.0,6.9,365.0,3.192,6.2,4
tm58893,Duplicate,MOVIE,1998,165,"['comedy', 'action', 'crime', 'thriller']",0.0,5.5,7557.0,6.309,6.0,4
tm340430,Govindha Govindha,MOVIE,1993,145,"['drama', 'action', 'crime']",0.0,6.6,351.0,1.023,4.0,3
tm184326,Damini,MOVIE,1993,180,"['drama', 'crime']",0.0,7.8,3490.0,3.444,7.3,2
tm110225,English Babu Desi Mem,MOVIE,1996,172,"['romance', 'comedy', 'drama']",0.0,4.5,2322.0,2.135,5.2,3
tm34391,Before the Flying Circus,MOVIE,2000,55,"['comedy', 'documentation']",0.0,7.3,161.0,2.211,8.5,2
tm21911,Sam Kinison: Live in Vegas,MOVIE,1991,72,"['comedy', 'music', 'documentation']",0.0,6.6,272.0,1.37,6.0,3
tm118438,Anjaam,MOVIE,1994,146,"['thriller', 'romance', 'drama']",0.0,6.6,6465.0,3.143,7.1,3
tm62176,Mann,MOVIE,1999,174,"['drama', 'romance']",0.0,6.1,5413.0,2.852,6.8,2
tm57169,Monty Python: Live at Aspen,MOVIE,1998,58,"['comedy', 'documentation']",0.0,7.8,1092.0,3.291,6.9,2
tm184224,Sinbad: Afros and Bellbottoms,MOVIE,1993,59,"['comedy', 'documentation']",0.0,7.8,166.0,2.935,5.5,2
tm44776,The Other,MOVIE,1999,106,"['drama', 'european', 'romance']",0.0,5.9,987.0,0.981,5.9,3
tm104933,Sinbad: Son of a Preacher Man,MOVIE,1996,56,"['comedy', 'documentation']",0.0,6.7,115.0,2.328,5.8,2
tm203186,Children of Shatila,MOVIE,1999,50,"['documentation', 'history']",0.0,8.2,74.0,1.174,6.7,2
